TV Title,totaln,males_n,females_n,under_18_n,males_under_18_n,females_under_18_n,aged_18_to_29_n,males_aged_18_to_29_n,females_aged_18_to_29_n,aged_30_to_44_n,males_aged_30_to_44_n,females_aged_30_to_44_n,aged_45_n,males_aged_45_n,females_aged_45_n,imdb_staff_n,top_1000_voters_n,US_users_n,mean,males,females,under_18,males_under_18,females_under_18,aged_18_to_29,males_aged_18_to_29,females_aged_18_to_29,aged_30_to_44,males_aged_30_to_44,females_aged_30_to_44,aged_45,males_aged_45,females_aged_45,imdb_staff,top_1000_voters,US_users
Wildside,114,74,23,NA,NA,NA,22,16,6,46,37,9,26,18,8,NA,16,7,7,6.9,9.4,NA,NA,NA,4.6,3,8.7,8.3,8,9.4,8.1,7.6,9.4,NA,6.4,4.8
The Young Riders,731,251,389,3,2,1,82,32,50,410,146,264,124,64,60,1,38,334,7.5,7.2,8,9.7,9.5,10,8.4,7.9,8.9,7.4,7,7.9,7.4,7.3,7.6,7,7.2,7.5
I Survived a Japanese Game Show,491,319,123,12,8,4,211,145,66,167,126,41,41,35,6,NA,24,261,5.9,6,6.3,6.6,6.6,7.8,6.3,6.2,6.4,6,5.9,6.9,5.8,5.7,6.1,NA,3.7,6.4
National Bingo Night,53,40,11,NA,NA,NA,23,19,4,21,17,4,5,4,1,NA,4,45,5,3.8,5,NA,NA,NA,5.5,5.4,7.3,3.8,3.9,5.3,2.1,2,1,NA,2,4.4
Show Me the Money,64,44,12,NA,NA,NA,18,15,3,15,12,3,19,17,2,NA,8,42,4.6,3,3.4,NA,NA,NA,4.5,4.4,8.7,2.5,2.5,7,3,2.7,7,NA,3.7,3.4
Who Wants to Be a Millionaire,467,307,101,14,10,4,204,152,52,122,101,21,45,35,10,NA,44,241,6.1,6.1,6.2,6.3,7.2,6,6.6,6.6,6.4,5.7,5.6,6.3,5.7,5.6,5.8,NA,6,6.1
You Don't Know Jack,63,36,15,NA,NA,NA,25,17,8,16,13,3,10,6,4,NA,6,41,7.4,6,9.8,NA,NA,NA,9.6,9.4,10,3.8,3.7,8.7,5,4.9,7,NA,5.5,6
Day One,18,12,4,NA,NA,NA,11,8,3,4,3,1,1,1,NA,NA,2,6,7.2,5.4,7.8,NA,NA,NA,5.6,5.6,7,10,10,10,2,2,NA,NA,2.5,3.8
Capitol Critters,87,67,13,1,1,NA,37,30,7,34,31,3,8,5,3,NA,13,38,7.9,6.9,7.3,1,1,NA,7.3,7.2,7.4,6.6,6.6,6,7.6,7.7,8,NA,7.2,6.9
The Goode Family,975,741,182,3,2,1,476,384,92,320,270,50,92,73,19,NA,22,614,6.4,6.4,7.1,5.3,5,6,6.4,6.3,7.1,6.6,6.5,7.3,6.9,6.9,6.4,NA,6.4,6.6
The Critic,4046,3040,525,23,21,2,1742,1493,249,1484,1295,189,234,183,51,NA,145,2205,7.9,8,7.5,8,8,5.5,8,8.1,7.2,7.8,7.8,7.6,7.9,7.8,8.2,NA,6.4,7.9
American Inventor,192,138,35,1,1,NA,81,63,18,63,55,8,24,18,6,NA,17,92,4.8,4.9,4.7,2,2,NA,5,5,4.7,4.4,4.5,3.9,5.4,5.9,3.8,NA,3.2,5.5
Are You Hot? The Search for America's Sexiest People,113,70,27,1,1,NA,48,33,15,38,30,8,8,5,3,NA,15,52,1.6,1.6,1.5,1,1,NA,1.1,1.1,1.2,1.9,1.8,2.4,3,4.9,1,NA,1.9,1.2
Brat Camp,83,40,29,NA,NA,NA,39,25,14,23,14,9,7,1,6,NA,11,19,6.6,6,6.2,NA,NA,NA,5.9,5.9,5.9,5.6,5.7,5.5,7.6,10,7.1,NA,5.1,6.2
Dance War: Bruno vs. Carrie Ann,73,29,40,NA,NA,NA,32,15,17,22,10,12,12,4,8,NA,6,57,4.5,3.1,3.9,NA,NA,NA,4.1,3.6,6.6,3.4,2.6,4.1,2.7,2,2.8,NA,1.7,2.9
Dating in the Dark,144,61,69,1,NA,1,60,20,40,50,29,21,17,12,5,NA,13,78,4.8,4.3,5.9,7,NA,7,5,4.1,6,5.1,4.6,6.1,4.3,4.2,4.5,NA,2.1,4.7
Downfall,55,32,15,2,2,NA,24,18,6,14,8,6,4,3,1,NA,9,28,5.7,4,8.4,8,8,NA,5.5,5.5,5.3,3.5,3.2,6,3.5,1.3,10,NA,2.7,5.6
Extreme Makeover: Home Edition,3442,1680,1390,106,50,56,1730,885,845,896,564,332,260,155,105,NA,93,1084,6,5.6,6.9,6.8,6.5,7.2,6.1,5.7,7,5.9,5.5,6.8,5.8,5.5,6.6,NA,4.8,5.9
Fast Cars and Superstars: The Gillette Young Guns Celebrity Race,29,18,10,NA,NA,NA,12,8,4,11,7,4,5,3,2,NA,2,19,6.7,5,6.5,NA,NA,NA,5.6,4.8,8.5,4.9,3.6,6.5,6,8.7,3.5,NA,1,6.7
Fat March,45,27,14,NA,NA,NA,15,10,5,17,12,5,8,4,4,NA,5,33,5.5,4.3,5.8,NA,NA,NA,4.8,4.9,4.8,4.4,4.6,1.9,4.9,3.3,6.3,NA,2.9,4.7
The Great American Dream Vote,24,12,11,NA,NA,NA,7,3,4,11,7,4,3,2,1,NA,1,17,2.7,2,1.9,NA,NA,NA,1.6,1,3.8,1.2,1.4,4.3,4,5.5,1,NA,1,2.1
Here Come the Newlyweds,67,27,37,NA,NA,NA,29,9,20,28,16,12,6,2,4,NA,1,53,7.7,5.6,5.7,NA,NA,NA,5.9,5.3,6.5,5.7,6.3,4.9,4.1,3,5.5,NA,1,5.2
Homeland Security USA,93,63,16,NA,NA,NA,27,24,3,39,31,8,12,8,4,NA,11,56,6.4,5.2,6.8,NA,NA,NA,6.6,6.3,7,4.7,4.3,6.9,6.8,7.1,7.8,NA,5.3,5.4
Just for Laughs,349,251,63,4,4,NA,167,135,32,107,85,22,32,25,7,NA,25,114,6.8,6.7,7.8,8,8,NA,6.8,6.6,7.5,6.7,6.5,7.9,7.3,7.1,7.2,NA,5.8,6.7
"I'm a Celebrity, Get Me Out of Here!",767,451,186,58,43,15,348,251,97,150,108,42,48,32,16,NA,31,84,4.8,4.5,5.4,8.1,7.9,8.4,5.5,5.3,6.3,3.6,3.3,5.2,3.7,3.5,4.2,NA,2.9,2.9
Making the Band 2,67,41,16,NA,NA,NA,31,23,8,21,15,6,4,3,1,NA,7,41,4.7,3.1,3.7,NA,NA,NA,3.1,3,3.8,3.3,3.1,6.4,4.5,5.7,1,NA,3.1,4.2
Master of Champions,15,12,2,NA,NA,NA,4,3,1,6,6,NA,3,3,NA,NA,1,12,3.3,1.7,9.5,NA,NA,NA,3.3,1.3,9,2.3,2.3,NA,1,1,NA,NA,1,2.9
My Kind of Town,7,5,2,NA,NA,NA,2,2,NA,3,2,1,2,1,1,NA,2,6,6.4,4,5,NA,NA,NA,8,8,NA,4.7,4.5,5,7.5,10,5,NA,4,4.6
The Next Best Thing: Who Is the Greatest Celebrity Impersonator?,100,58,32,NA,NA,NA,43,24,19,29,22,7,13,9,4,NA,12,63,5.8,5.7,6.1,NA,NA,NA,5.9,6.3,5.2,5.7,5.2,8.3,5.6,5.3,6.3,NA,5.3,6.2
The One: Making a Music Star,51,28,20,NA,NA,NA,9,3,6,15,13,2,22,12,10,NA,5,35,4,2.3,4.7,NA,NA,NA,1.9,4,5.2,2.9,1.4,5.5,3.8,4.6,2.9,NA,4.3,4
Supernanny,1029,446,476,34,16,18,479,205,274,278,163,115,100,56,44,NA,50,441,4.6,4,5.8,5.4,5.1,5.7,4.8,4.1,5.6,4.4,3.7,6.3,4.6,4,6,NA,3.9,4.8
That's Incredible!,127,91,17,NA,NA,NA,3,1,2,68,58,10,36,32,4,NA,19,78,6.3,6.2,7,NA,NA,NA,5.7,3,7,6.6,6.4,7.8,6,6.1,6.5,NA,6.2,6.1
True Beauty,346,168,161,4,2,2,183,90,93,97,52,45,38,21,17,NA,16,172,4.8,4.7,4.6,6.3,8.5,4,5.4,5.8,4.9,4.5,4.1,5.4,3.8,3.9,3.6,NA,4.8,5
Wife Swap,970,443,395,23,12,11,456,223,233,239,142,97,94,59,35,NA,60,507,4.3,4,5,5.5,5.7,5.1,4.6,4.4,4.9,4.1,3.7,5.3,3.8,3.5,4.6,NA,3.5,4.4
8 Simple Rules,16289,8573,6120,314,106,208,10076,5480,4596,3239,2313,926,703,510,193,1,212,3928,6.9,6.7,7.2,7.8,7.6,8,7.1,6.9,7.3,6.5,6.5,6.7,6.7,6.6,6.9,6,5.2,6.8
According to Jim,20899,14837,4426,467,328,139,11954,9172,2782,5334,4227,1107,1007,775,232,NA,216,3921,6.1,6.2,6,7.2,7.3,6.9,6.3,6.4,6.1,5.8,5.9,5.7,5.9,5.8,6,NA,4.7,5.5
Aliens in the Family,57,33,14,NA,NA,NA,27,19,8,12,9,3,7,5,2,NA,11,26,6.2,4.4,3.2,NA,NA,NA,5.5,6.1,3.6,3.7,3.3,7.3,1,1,4,NA,4.2,3.4
All-American Girl,236,134,65,1,1,NA,53,28,25,94,70,24,42,30,12,NA,27,127,6.3,6.5,6.2,6,6,NA,6.9,7,6.6,6.1,6.2,6,6.7,6.7,6.5,NA,5.9,6.2
Anything But Love,218,114,73,1,1,NA,28,14,14,78,48,30,75,50,25,NA,39,124,6.7,6.7,6.8,8,8,NA,6.8,6.7,6.5,6.4,6.4,6.5,7,6.8,7.3,NA,6,6.7
Baby Talk,104,56,33,NA,NA,NA,29,17,12,53,36,17,6,2,4,NA,14,44,3.1,3.1,4,NA,NA,NA,4.3,4.6,3.6,2.9,2.5,5.3,3.5,5,3.5,NA,1.8,2.6
Best of the West,109,67,26,1,NA,1,2,2,NA,31,25,6,56,40,16,NA,12,62,7,6.7,7.9,7,NA,7,2.5,2.5,NA,7.4,7.1,8,7,6.9,7.9,NA,5.3,7.3
Better Off Ted,17837,12080,4149,164,107,57,8742,6362,2380,5744,4501,1243,1118,863,255,2,191,6233,7.9,7.9,8,8,7.9,8.3,8,7.9,8.1,8,8,8,7.8,7.8,7.8,8,5.7,7.9
Better with You,2591,1401,1016,76,39,37,1444,781,663,693,455,238,155,113,42,NA,55,708,6.5,6.3,7,7.7,7.1,8.4,7,6.8,7.2,5.9,5.8,6.3,6.1,5.9,7.1,NA,4.9,6.2
Big Day,290,172,75,1,NA,1,106,66,40,95,72,23,42,33,9,NA,13,113,6,5.9,6.5,10,NA,10,6.5,5.8,7.5,5.9,5.9,5.9,5.5,5.9,3.7,NA,6,5.9
Billy the Exterminator,634,393,173,18,14,4,226,162,64,235,173,62,71,40,31,NA,23,375,5.8,5.6,6.5,5.7,7.1,5,6,5.8,6.6,5.5,5.4,6,5.9,5.3,7.4,NA,5.4,6
Bob Patterson,67,50,4,NA,NA,NA,15,15,NA,21,20,1,17,15,2,NA,9,38,4.6,4.9,1,NA,NA,NA,7.4,7.4,NA,3.5,3.8,1,4.1,4.5,1,NA,4.6,4.5
Bosom Buddies,1367,804,377,2,1,1,120,70,50,675,468,207,342,244,98,1,85,883,6.6,6.4,6.9,7,7,7,6.5,6.3,6.9,6.6,6.5,6.9,6.5,6.3,7,6,6.2,6.6
Boy Meets World,23280,12156,8765,336,131,205,14959,8363,6596,4261,2920,1341,600,396,204,NA,194,12968,7.8,7.6,8.2,8.5,8.3,8.6,8.2,8.1,8.5,7,6.9,7.4,6.7,6.6,6.9,NA,5.3,8
Brother's Keeper,62,32,17,NA,NA,NA,23,15,8,17,11,6,9,6,3,NA,12,39,7.1,6.1,7.6,NA,NA,NA,7.6,7.5,7.9,5.1,4.9,7.2,7.2,7.3,5.3,NA,5.2,6.6
Camp Wilder,48,22,16,NA,NA,NA,7,2,5,28,18,10,2,2,NA,NA,9,14,7.3,6.7,5.4,NA,NA,NA,5.7,8.5,5.5,6.5,6.7,5.5,6.5,6.5,NA,NA,7,6.1
Carpoolers,1496,1038,365,6,5,1,655,492,163,579,436,143,127,91,36,NA,29,753,7,7.1,7.7,6.9,6.9,9,7.4,7.3,7.8,7.1,6.9,8,6.5,6.6,6.1,NA,4.1,7
Cavemen,2197,1712,352,1,1,NA,961,812,149,819,693,126,244,190,54,NA,42,1636,4.2,4.2,4.6,1,1,NA,4.1,4,4.3,4.5,4.4,5.3,4.2,4.2,4.4,NA,4.1,4.3
The Charmings,122,66,37,NA,NA,NA,1,NA,1,57,35,22,41,30,11,NA,8,74,6.2,6.1,6.5,NA,NA,NA,10,NA,10,6.3,6.3,6.4,6,6,6.1,NA,6.3,6
Chicken Soup for the Soul,80,38,32,NA,NA,NA,21,7,14,26,17,9,22,14,8,NA,12,50,6.3,5,5.7,NA,NA,NA,5.2,3.9,8.8,4.9,5,4.7,6.1,5.7,6.6,NA,4.1,5.1
Clueless,1382,592,625,6,1,5,730,296,434,385,239,146,59,46,13,NA,59,461,5.2,4.8,5.9,6.4,3,8.7,5.6,5,6.2,4.8,4.7,5.4,4.9,5,4.3,NA,3.9,5.4
Coach,2261,1542,435,3,2,1,462,362,100,1052,855,197,393,285,108,NA,117,1378,6.8,6.8,6.6,8.3,9,7,7,7.1,6.7,6.6,6.6,6.5,6.9,6.9,7,NA,6.5,7
Complete Savages,1293,702,434,7,2,5,810,472,338,247,184,63,56,36,20,NA,42,183,6.8,6.6,7.9,9.2,8,9.5,7.5,7.1,8.4,5.8,5.6,7.1,6.5,6.9,5.7,NA,5.4,6.2
Cougar Town,27463,13483,11508,615,270,345,15408,7819,7589,6941,4252,2689,1325,881,444,3,202,4958,6.8,6.6,7.3,7.6,7.1,8.1,7,6.7,7.5,6.6,6.5,6.9,6.2,6.2,6,7,4.8,6.3
Crumbs,124,75,33,NA,NA,NA,32,22,10,53,32,21,22,20,2,NA,11,48,5.7,6,6.7,NA,NA,NA,6.1,5.6,7.4,6.7,6.3,7.4,5.7,6.1,4,NA,3.8,6.4
Dharma & Greg,17983,10224,6163,180,109,71,8830,5161,3669,5782,3970,1812,1189,802,387,3,252,3493,6.1,6,6.6,6.7,6.3,7.3,6.1,5.9,6.6,6.1,6,6.7,6.4,6.4,6.6,5.3,5.4,5.8
Dinosaurs,9561,6230,2393,72,48,24,5264,3730,1534,2577,1980,597,484,356,128,NA,213,3492,7.2,7.2,7.4,8,8,7.9,7.5,7.5,7.5,6.9,6.9,7.1,7.2,7.1,7.6,NA,6,7.2
The Drew Carey Show,9827,6788,1983,38,27,11,4224,3260,964,3348,2671,677,924,711,213,1,234,4458,6.7,6.8,6.4,6.1,5.9,6.7,6.9,7,6.4,6.6,6.7,6.3,6.9,7,6.6,5,5.8,7
The Ellen Burstyn Show,39,17,10,1,1,NA,10,6,4,7,4,3,9,6,3,NA,13,14,7.1,7.6,6.6,1,1,NA,5.8,6.1,5.5,8.4,6.8,9.7,8,7.9,9.3,NA,5.7,6.1
Ellen,2803,1441,1003,28,13,15,917,461,456,1078,701,377,355,241,114,NA,126,915,5.9,5.6,6.8,7.7,7,8.7,6.2,5.7,7.1,5.7,5.4,6.5,6.2,6,6.8,NA,5.3,6.1
Emily's Reasons Why Not,138,81,29,NA,NA,NA,41,28,13,53,43,10,14,9,5,NA,18,50,4.1,4.2,5.5,NA,NA,NA,4.4,3.2,7.6,4.5,4.5,4.8,4.7,6.1,3,NA,4.2,3.9
Family Matters,12787,8140,3281,200,119,81,6427,4478,1949,3893,2964,929,587,408,179,1,218,5704,6.2,6.2,6.3,7.7,7.5,7.9,6.7,6.7,6.7,5.8,5.7,5.9,5.7,5.7,5.7,3,4.8,6.4
Free Spirit,58,37,12,NA,NA,NA,3,3,NA,29,20,9,15,13,2,NA,11,31,8,6,8.7,NA,NA,NA,10,10,NA,6.9,6.5,8.2,4.5,4.4,8,NA,4.9,5.7
Full House,26537,13639,9765,738,278,460,14341,7850,6491,6517,4536,1981,1006,672,334,1,281,9766,6.1,5.8,6.9,7.8,7,8.5,6.6,6.3,7.2,5.6,5.4,6.3,5.1,5,5.4,4,4.7,6.1
Freddie,1053,641,309,5,2,3,575,380,195,290,209,81,65,45,20,NA,43,288,5.8,5.7,6.5,7.2,7.5,8.3,6.3,6.1,6.9,5.4,5.2,6.3,5.5,5.4,5.9,NA,4.7,5.7
The Geena Davis Show,177,96,52,NA,NA,NA,70,42,28,40,31,9,36,23,13,NA,20,51,5.1,5,5.6,NA,NA,NA,6.3,6.4,6,4.5,4.1,7.2,4.5,4.4,4.6,NA,5.4,4.8
Inspector George Gently,1405,689,545,12,7,5,231,112,119,337,192,145,599,354,245,NA,51,408,7.5,7.6,7.5,7.9,7.6,8.5,7.4,7.3,7.5,7.4,7.4,7.3,7.8,7.8,7.8,NA,6.5,7.7
George Lopez,6692,4050,1886,215,143,72,3606,2429,1177,1460,1068,392,459,307,152,NA,122,4386,6,6,6.4,7.4,7.1,7.9,6.3,6.2,6.4,5.8,5.6,6.3,5.8,5.7,6.3,NA,4,6.3
Getting By,21,13,5,NA,NA,NA,5,4,1,9,5,4,4,4,NA,NA,5,10,6.4,3.5,8.8,NA,NA,NA,4.5,4.8,8,4.6,3.5,9.5,5.8,5.8,NA,NA,2.1,6.2
Going Places,24,15,6,NA,NA,NA,2,2,NA,15,10,5,4,3,1,NA,NA,17,6.5,3.7,8.9,NA,NA,NA,2.5,2.5,NA,5.1,4.2,9.2,5.8,5.3,7,NA,NA,4.3
Grace Under Fire,1591,856,532,2,NA,2,325,174,151,720,474,246,297,187,110,NA,92,733,5.8,5.6,6.4,9,NA,9,5.9,5.5,6.5,5.7,5.5,6.3,6.3,6.1,6.7,NA,5.6,5.8
Growing Pains,7109,3974,2345,44,23,21,2374,1243,1131,3114,2201,913,562,404,158,1,216,3468,6.3,6.2,6.7,6.6,6.6,6.7,6.5,6.2,7,6.3,6.2,6.7,5.9,5.9,5.7,5,5,6.4
Hangin' with Mr. Cooper,1208,761,277,8,5,3,439,311,128,485,373,112,79,54,25,NA,66,569,5.8,5.9,5.9,1.6,8.1,4,6.6,6.7,6.4,5.4,5.4,5.5,5.8,5.8,6,NA,5.3,6
Hank,370,268,67,4,4,NA,127,107,20,127,96,31,70,58,12,NA,21,186,4.4,4.4,4.3,6.5,6.5,NA,4.4,4.1,6,4.4,4.4,4.5,4.4,4.9,2.1,NA,4.3,4.3
Head of the Class,864,544,205,1,1,NA,57,38,19,549,408,141,119,86,33,1,66,498,6.5,6.4,6.7,8,8,NA,6.6,6.8,6,6.5,6.4,6.7,6.3,6.3,6.6,7,6.3,6.5
Help Me Help You,319,213,68,NA,NA,NA,122,101,21,123,92,31,33,17,16,NA,22,131,6.4,6.5,6.8,NA,NA,NA,7,6.8,8.1,6.4,6.3,7.2,5.7,6.3,4.6,NA,5.7,7
"Hi Honey, I'm Home",87,48,24,NA,NA,NA,8,5,3,47,32,15,15,10,5,NA,9,59,7.5,6.8,8,NA,NA,NA,8.1,8,9.7,7,6.6,7.7,6.5,6,8.3,NA,7.1,7.1
Hiller and Diller,21,12,5,NA,NA,NA,4,2,2,9,8,1,4,2,2,NA,5,15,4.4,4.6,2.8,NA,NA,NA,4.3,5.5,3,5.1,5,10,5.3,7.5,3,NA,2.3,4.5
Home Improvement,22704,15254,5118,318,213,105,11486,8425,3061,6470,5155,1315,1529,1141,388,2,304,9006,7,7,6.9,7.6,7.6,7.5,7.2,7.2,7,6.7,6.7,6.7,7.1,7.1,7,7,5.9,7.2
Hot Properties,197,119,52,NA,NA,NA,83,55,28,59,45,14,25,17,8,NA,17,49,5.8,5.8,6.5,NA,NA,NA,5.9,5.5,7.9,5.9,6,5.5,6.3,6.2,6.4,NA,4.9,6.8
Hudson Street,27,13,7,NA,NA,NA,4,3,1,6,4,2,9,6,3,NA,7,7,7.7,6.5,6.7,NA,NA,NA,7.3,7,8,5.8,7.8,5.5,6.8,6.5,8.7,NA,6.9,7.4
The Hughleys,415,261,105,NA,NA,NA,171,117,54,133,104,29,55,37,18,NA,33,232,5.3,5.3,5.5,NA,NA,NA,5.9,5.9,5.8,4.9,4.9,5.3,5.5,5.6,4.9,NA,4.1,5.3
I'm a Big Girl Now,11,8,1,NA,NA,NA,1,1,NA,2,2,NA,6,5,1,NA,3,6,6.9,6.2,10,NA,NA,NA,8,8,NA,8.5,8.5,NA,6,6,10,NA,6,6.4
I'm with Her,270,153,77,NA,NA,NA,108,65,43,70,52,18,47,35,12,NA,16,85,6.8,6.9,6.5,NA,NA,NA,7,6.9,7.1,6.8,6.8,6.5,6.5,6.8,5.5,NA,5.6,6.9
I Married Dora,52,23,20,NA,NA,NA,3,3,NA,25,15,10,14,5,9,NA,7,32,6.5,4.9,6.3,NA,NA,NA,6.7,6.7,NA,4.8,4.5,5.8,6.6,6.5,6.6,NA,5.8,5.8
In Case of Emergency,404,285,79,NA,NA,NA,172,127,45,146,122,24,37,33,4,NA,14,172,6.8,7.1,6.4,NA,NA,NA,7.5,7.6,6.9,6.7,6.7,6.7,6.5,7.1,6,NA,5.7,7.1
In the Motherhood,175,84,72,1,1,NA,72,37,35,57,31,26,18,13,5,NA,11,106,5.5,4.7,8.2,1,1,NA,6.7,5.7,8.5,5.3,4.2,8.2,4.7,4.8,4.1,NA,5.1,6.6
It's a Living,220,99,93,NA,NA,NA,6,2,4,127,58,69,54,38,16,NA,25,166,6.9,6.7,7.7,NA,NA,NA,2,1,7.3,7.4,6.8,8,7.2,7,7.5,NA,5.8,7.2
It's All Relative,204,119,60,1,1,NA,91,57,34,62,42,20,25,19,6,NA,14,49,6.2,6.2,6.4,9,9,NA,6.5,6.2,7.6,6.1,6,6.3,6.2,6.3,5.3,NA,5.6,6.3
"It's Like, You Know...",334,220,67,NA,NA,NA,52,38,14,155,118,37,74,61,13,NA,21,146,6.8,7,6.8,NA,NA,NA,6.1,5.4,8.5,7.4,7.5,6.7,6.6,6.9,5.3,NA,5,6.8
Jake in Progress,282,172,75,NA,NA,NA,103,75,28,91,67,24,48,29,19,NA,23,104,6,6.1,6,NA,NA,NA,6.1,6,6.8,5.8,5.7,6.1,6.3,6.8,5.3,NA,4.6,6.3
The Jeff Foxworthy Show,396,271,70,1,1,NA,117,96,21,160,123,37,58,47,11,NA,36,262,5,4.9,5.4,8,8,NA,5.4,5.1,7,4.5,4.4,4.7,5.9,6,5.4,NA,5,5.3
Joanie Loves Chachi,237,137,65,3,2,1,33,20,13,84,57,27,75,57,18,NA,32,133,3.7,3.5,4.7,2.3,1,5,3.3,2.9,4.8,3.8,3.5,4.7,3.9,3.6,5.1,NA,3.5,3.9
The Job,1277,946,143,NA,NA,NA,438,395,43,477,426,51,146,109,37,NA,65,423,7.7,8,7,NA,NA,NA,7.4,7.6,5.7,8.2,8.3,7.2,8.2,8.2,8,NA,5.5,7.3
Nikolaj og Julie,219,128,60,2,1,1,101,59,42,60,49,11,20,16,4,NA,5,2,5.7,5.4,6.7,7.5,7,8,5.4,5,6.4,5.8,5.6,7.2,6.6,6.3,7.5,NA,4.8,4
Just the Ten of Us,577,290,215,1,1,NA,46,19,27,371,208,163,74,58,16,NA,46,403,6.8,6.4,7.7,10,10,NA,6.4,5.5,7.4,6.9,6.4,7.9,6.7,6.7,6.8,NA,6.4,7
The Knights of Prosperity,1196,930,175,1,1,NA,532,465,67,426,363,63,126,93,33,NA,37,602,7.6,7.7,7.5,9,9,NA,8.1,8.1,7.8,7.5,7.4,7.6,6.6,6.7,6.2,NA,6.6,8
Life's Work,26,15,5,NA,NA,NA,2,2,NA,9,8,1,8,5,3,NA,5,14,7.8,7.3,4.5,NA,NA,NA,6.5,6.5,NA,7,6.9,10,6.2,8.1,6,NA,7.5,6.7
Less Than Perfect,2060,1090,744,19,10,9,1030,589,441,622,401,221,128,77,51,NA,64,404,6.8,6.7,7.1,7.8,8.2,6.9,7,6.9,7.2,6.6,6.4,7,7.2,7.3,6.9,NA,5.6,6.9
Life with Bonnie,382,192,118,NA,NA,NA,137,87,50,98,63,35,66,37,29,NA,32,157,6.1,6.2,6.6,NA,NA,NA,6,5.9,6.2,6.4,6,7.3,6.5,6.4,6.5,NA,5.2,6.5
Life with Lucy,130,86,29,2,2,NA,19,12,7,34,28,6,55,43,12,NA,20,82,6.2,5.8,6.9,5.5,5.5,NA,6.6,6.6,6.6,5.5,5.1,6.3,6.2,5.9,7.7,NA,6.2,6.5
Living Dolls,58,22,25,NA,NA,NA,8,7,1,34,14,20,3,1,2,NA,15,33,5.7,3.9,5.3,NA,NA,NA,4,3.9,10,4.5,4.1,5,3,3,3,NA,5.3,4.2
Married to the Kellys,175,109,41,NA,NA,NA,75,48,27,52,43,9,20,17,3,NA,13,68,6.2,6.4,5.8,NA,NA,NA,6.3,6.3,6.1,6.4,6.3,6.8,6.1,6.5,3.7,NA,5.4,6.2
Maybe This Time,38,23,7,NA,NA,NA,12,9,3,10,9,1,7,4,3,NA,5,21,5.6,3.5,5.3,NA,NA,NA,2.7,2.9,6,4,4,7,6.2,7,8.7,NA,1.7,3.6
Miss Guided,972,428,496,NA,NA,NA,471,173,298,350,194,156,80,59,21,NA,25,646,7.1,7.1,7.7,NA,NA,NA,7.8,7.8,7.7,6.9,6.5,7.7,6.8,6.7,7,NA,6,7.7
Mr. Belvedere,1575,997,377,NA,NA,NA,129,87,42,975,716,259,235,177,58,NA,92,963,6.4,6.4,6.5,NA,NA,NA,7.1,7.3,6.4,6.4,6.3,6.7,6,6.2,5.3,NA,6.1,6.4
My Wife and Kids,14480,9435,3595,486,306,180,8772,6360,2412,2861,2173,688,494,338,156,NA,180,3123,6.4,6.3,6.5,7.5,7.5,7.7,6.6,6.6,6.7,5.9,5.8,6.1,5.9,5.8,6.2,NA,4.6,6.1
The Naked Truth,460,296,107,NA,NA,NA,110,73,37,203,157,46,79,62,17,NA,43,146,6.9,6.8,7.2,NA,NA,NA,7.3,7.3,7.5,6.5,6.4,6.8,7.2,7.3,7.1,NA,6.5,6.7
The New Odd Couple,43,28,5,NA,NA,NA,2,1,1,15,14,1,16,13,3,NA,13,28,4.9,4.4,4.7,NA,NA,NA,4.5,4,5,3.9,3.9,8,5.2,5.3,6.3,NA,4,4.3
Nobody's Perfect,9,6,2,NA,NA,NA,NA,NA,NA,3,3,NA,5,3,2,NA,3,3,7.9,7,8.5,NA,NA,NA,NA,NA,NA,7.7,7.7,NA,7.6,8.3,8.5,NA,6.7,9
Norm,1022,799,91,1,NA,1,380,351,29,393,362,31,92,78,14,NA,56,426,7.6,7.6,6.8,10,NA,10,8.1,8.2,6.8,7.4,7.4,6.8,6.7,6.8,5,NA,6.1,7.5
Notes from the Underbelly,562,227,264,NA,NA,NA,197,83,114,229,110,119,53,31,22,NA,17,343,6.4,6.3,7.2,NA,NA,NA,7.4,7.5,7.4,6.5,5.8,8.4,5.4,5.9,4.7,NA,4.9,7.2
Odd Man Out,61,30,24,NA,NA,NA,28,12,16,18,13,5,7,5,2,NA,6,25,7.5,6.5,6.2,NA,NA,NA,7.1,6.2,8.3,7.1,7.2,6.8,4.1,5,4.5,NA,6.1,5.7
Off the Rack,6,3,1,NA,NA,NA,1,1,NA,3,2,1,NA,NA,NA,NA,6,2,6.2,5.7,6,NA,NA,NA,5,5,NA,6,6,6,NA,NA,NA,NA,6.1,6
"Oh, Grow Up",31,22,3,NA,NA,NA,5,4,1,11,11,NA,8,7,1,NA,6,14,6.8,6.7,5.7,NA,NA,NA,7.5,6.5,10,6.8,6.8,NA,5.3,6.5,1,NA,5.3,6.6
Oh Madeline,39,26,10,NA,NA,NA,2,NA,2,22,16,6,12,10,2,NA,6,26,7.3,6.2,6.2,NA,NA,NA,10,NA,10,5.7,5.7,5.7,6.9,6.8,10,NA,5.1,6.2
Perfect Strangers,4369,2848,1091,11,6,5,1073,708,365,2349,1799,550,413,287,126,NA,164,1755,7,6.9,7.2,7.7,7,9,7.4,7.4,7.4,7,6.9,7.2,6.5,6.4,6.9,NA,6.1,6.7
